category_id,category_name,category_slug,parent_category_id,listing_id,listing_title,listing_slug,listing_url,region_ids,maps_url,latitude,longitude
3,Restaurants,restaurants,47,561,Jashan Restaurant,jashan-restaurant,https://newcyprusguide.com/business/jashan-restaurant/,37;42,"//maps.google.com/maps?daddr=35.34159383582067,33.28053132055663",35.34159383582067,33.28053132055663
3,Restaurants,restaurants,47,9442,Cafe De Liman,cafe-de-liman,https://newcyprusguide.com/business/cafe-de-liman/,42,"//maps.google.com/maps?daddr=35.34226771417238,33.31850067137145",35.34226771417238,33.31850067137145
3,Restaurants,restaurants,47,9208,Gillham&#8217;s Chef Restaurant,gillhams-chef-restaurant,https://newcyprusguide.com/business/gillhams-chef-restaurant/,37,"//maps.google.com/maps?daddr=35.32387844658782,33.219323310836785",35.32387844658782,33.219323310836785
3,Restaurants,restaurants,47,8953,Ayandon Meyhanesi,ayandon-meyhanesi,https://newcyprusguide.com/business/ayandon-meyhanesi/,68,"//maps.google.com/maps?daddr=35.34394144615134,33.262675855144494",35.34394144615134,33.262675855144494
3,Restaurants,restaurants,47,8748,Azure Mediterranean Bistro,azure-mediterranean-bistro,https://newcyprusguide.com/business/azure-mediterranean-bistro/,42,"//maps.google.com/maps?daddr=35.3408346219836,33.3199866151657",35.3408346219836,33.3199866151657
3,Restaurants,restaurants,47,8706,Spaghetti Junction,spaghetti-junction,https://newcyprusguide.com/business/spaghetti-junction/,41,"//maps.google.com/maps?daddr=35.327734325063744,33.38116243785021",35.327734325063744,33.38116243785021
3,Restaurants,restaurants,47,8661,Çatırez Mangalbaşı,catirez-mangalbasi,https://newcyprusguide.com/business/catirez-mangalbasi/,43,"//maps.google.com/maps?daddr=35.17345668254556,33.771633062347405",35.17345668254556,33.771633062347405
3,Restaurants,restaurants,47,8531,Passage no 199,passage-no-199,https://newcyprusguide.com/business/passage-no-199/,43,"//maps.google.com/maps?daddr=35.142897784441914,33.91472086666499",35.142897784441914,33.91472086666499
3,Restaurants,restaurants,47,8362,Mevlana Sofrası,mevlana-sofrasi,https://newcyprusguide.com/business/mevlana-sofrasi/,42,"//maps.google.com/maps?daddr=35.33755701178859,33.30539003370666",35.33755701178859,33.30539003370666
3,Restaurants,restaurants,47,8311,Kumpir House &#8211; Kyrenia,kumpir-house-kyrenia,https://newcyprusguide.com/business/kumpir-house-kyrenia/,42,"//maps.google.com/maps?daddr=35.33748480659606,33.30561533926391",35.33748480659606,33.30561533926391
3,Restaurants,restaurants,47,8089,Ayguruş Evi Restaurant,aygurus-evi-restaurant,https://newcyprusguide.com/business/aygurus-evi-restaurant/,63,"//maps.google.com/maps?daddr=35.33567309155721,33.58441219089889",35.33567309155721,33.58441219089889
3,Restaurants,restaurants,47,8086,Eat &amp; Meet,eat-meet,https://newcyprusguide.com/business/eat-meet/,45,"//maps.google.com/maps?daddr=35.21128770548669,33.376094404443734",35.21128770548669,33.376094404443734
3,Restaurants,restaurants,47,8026,Fornello Pizza Grill,fornello-pizza-grill,https://newcyprusguide.com/business/fornello-pizza-grill/,42,"//maps.google.com/maps?daddr=35.33763796904889,33.311425003990166",35.33763796904889,33.311425003990166
3,Restaurants,restaurants,47,7897,Cadde Mutfak,cadde-mutfak,https://newcyprusguide.com/business/cadde-mutfak/,45,"//maps.google.com/maps?daddr=35.21124168504939,33.37556466816329",35.21124168504939,33.37556466816329
3,Restaurants,restaurants,47,7878,Mey-Han Café &amp; Restaurant,mey-han-cafe-restaurant,https://newcyprusguide.com/business/mey-han-cafe-restaurant/,45,"//maps.google.com/maps?daddr=35.17613583605868,33.362129483207696",35.17613583605868,33.362129483207696
3,Restaurants,restaurants,47,7848,Mektepbaşı Meyhanesi,mektepbasi-meyhane,https://newcyprusguide.com/business/mektepbasi-meyhane/,45,"//maps.google.com/maps?daddr=35.205134979937974,33.33270430920982",35.205134979937974,33.33270430920982
3,Restaurants,restaurants,47,7682,Meatballs Burger House,meatballs-burger-house,https://newcyprusguide.com/business/meatballs-burger-house/,45,"//maps.google.com/maps?daddr=35.18237296677604,33.35481241701507",35.18237296677604,33.35481241701507
3,Restaurants,restaurants,47,7644,Full Drabez Meyhane,full-drabez-meyhane,https://newcyprusguide.com/business/full-drabez-meyhane/,43,"//maps.google.com/maps?daddr=35.172619154904794,33.83300200460815",35.172619154904794,33.83300200460815
3,Restaurants,restaurants,47,7594,Pernara Meyhanesi,pernara-meyhanesi,https://newcyprusguide.com/business/pernara-meyhanesi/,43,"//maps.google.com/maps?daddr=35.16471702967638,33.70188489912414",35.16471702967638,33.70188489912414
3,Restaurants,restaurants,47,7459,Paşanın Yeri,pasanin-yeri-nicosia,https://newcyprusguide.com/business/pasanin-yeri-nicosia/,45,"//maps.google.com/maps?daddr=35.190836722071914,33.36702451465976",35.190836722071914,33.36702451465976
3,Restaurants,restaurants,47,6085,Mekhan Cafe &amp; Restaurant,mekhan-cafe-restaurant,https://newcyprusguide.com/business/mekhan-cafe-restaurant/,45,"//maps.google.com/maps?daddr=35.17697332747176,33.36259082315826",35.17697332747176,33.36259082315826
3,Restaurants,restaurants,47,6875,Sapqa Café,sapqa-cafe,https://newcyprusguide.com/business/sapqa-cafe/,37,"//maps.google.com/maps?daddr=35.338983598119654,33.30090538023376",35.338983598119654,33.30090538023376
3,Restaurants,restaurants,47,6674,Halil Kara Restaurant,halil-kara-restaurant,https://newcyprusguide.com/business/halil-kara-restaurant/,46,"//maps.google.com/maps?daddr=35.27892486388177,33.89188185690307",35.27892486388177,33.89188185690307
3,Restaurants,restaurants,47,6661,Dayi&#8217;inn Yeri Kebab,dayiinn-yeri-kebab,https://newcyprusguide.com/business/dayiinn-yeri-kebab/,43,"//maps.google.com/maps?daddr=35.124957959452495,33.93350437639617",35.124957959452495,33.93350437639617
3,Restaurants,restaurants,47,6694,Mavi Balikcilik Fish Restaurant,mavi-balikcilik-fish-restaurant,https://newcyprusguide.com/business/mavi-balikcilik-fish-restaurant/,46,"//maps.google.com/maps?daddr=35.2794635089961,33.92034009455108",35.2794635089961,33.92034009455108
3,Restaurants,restaurants,47,6497,Sarinç Restaurant and Butcher,sarinc-restaurant-and-butcher,https://newcyprusguide.com/business/sarinc-restaurant-and-butcher/,43,"//maps.google.com/maps?daddr=35.25769151056597,33.71487751959228",35.25769151056597,33.71487751959228
3,Restaurants,restaurants,47,4541,Sea Wise Bar &amp; Restaurant,sea-wise-bar-restaurant,https://newcyprusguide.com/business/sea-wise-bar-restaurant/,63,"//maps.google.com/maps?daddr=35.34954874256113,33.58171120642089",35.34954874256113,33.58171120642089
3,Restaurants,restaurants,47,3622,Oak Tree Park,oak-tree-park,https://newcyprusguide.com/business/oak-tree-park/,39,"//maps.google.com/maps?daddr=35.343191005904956,33.224585804924004",35.343191005904956,33.224585804924004
